era,qdrvm-dot-validator-1,DARKFOREST,ilgio,NeNa 🌻,ULTRANODES,LuckyFriday.io,IOSG Ventures,Stake Plus
1872,1,1,1,1,0,0,0,0
1873,1,1,1,0,0,0,0,0
1874,0,1,0,0,1,0,0,0
1875,0,1,0,0,1,0,0,0
1876,0,1,0,0,1,0,0,0
1877,0,1,0,0,1,1,0,0
1878,0,0,0,0,1,1,0,0
1879,0,0,0,0,1,1,0,0
1880,0,0,0,0,1,1,0,0
1881,0,0,0,0,1,1,0,0
1882,0,0,0,0,1,1,0,0
1883,0,0,0,0,1,1,0,0
1884,0,0,0,0,1,1,0,0
1885,1,0,0,0,1,1,1,0
1886,0,0,0,0,1,1,1,1
1887,0,0,0,0,1,1,0,1
1888,0,0,0,0,1,1,1,1
1889,0,0,0,0,0,1,1,1
1890,0,0,0,0,0,1,1,1
1891,0,0,0,0,0,1,1,0
